file,line,detail
ring_buf.h,270,succeed,task_id,137,predecessor_cnt,2,predecessor_id,136,idx,0
ring_buf.h,270,succeed,task_id,137,predecessor_cnt,3,predecessor_id,135,idx,1
ring_buf.h,227,new,task_id,137, type,1
ring_buf.h,270,succeed,task_id,138,predecessor_cnt,2,predecessor_id,12,idx,14
ring_buf.h,270,succeed,task_id,138,predecessor_cnt,3,predecessor_id,9,idx,14
ring_buf.h,270,succeed,task_id,138,predecessor_cnt,4,predecessor_id,11,idx,14
ring_buf.h,227,new,task_id,138, type,1
ring_buf.h,270,succeed,task_id,139,predecessor_cnt,2,predecessor_id,138,idx,0
ring_buf.h,227,new,task_id,139, type,0
ring_buf.h,270,succeed,task_id,140,predecessor_cnt,2,predecessor_id,139,idx,0
ring_buf.h,227,new,task_id,140, type,1
ring_buf.h,270,succeed,task_id,141,predecessor_cnt,2,predecessor_id,138,idx,1
ring_buf.h,270,succeed,task_id,141,predecessor_cnt,3,predecessor_id,140,idx,0
ring_buf.h,227,new,task_id,141, type,0
ring_buf.h,270,succeed,task_id,142,predecessor_cnt,2,predecessor_id,141,idx,0
ring_buf.h,270,succeed,task_id,142,predecessor_cnt,3,predecessor_id,140,idx,1
ring_buf.h,227,new,task_id,142, type,1
ring_buf.h,270,succeed,task_id,143,predecessor_cnt,2,predecessor_id,12,idx,15
ring_buf.h,270,succeed,task_id,143,predecessor_cnt,3,predecessor_id,9,idx,15
ring_buf.h,270,succeed,task_id,143,predecessor_cnt,4,predecessor_id,11,idx,15
ring_buf.h,227,new,task_id,143, type,1
ring_buf.h,270,succeed,task_id,144,predecessor_cnt,2,predecessor_id,143,idx,0
